ITEM;TRANSLATION
걱정;zorgen
숨;adem
왕;koning
질문;vraag
거리;afstand
사정;omstandigheden
부모님;ouders
비행기;vliegtuig
뿌리;wortel
상대;rivaal
비단 ;zijde
피부;huid
가게;winkel
벽;muur
약속;belofte
신체;lichaam
에너지;energie
배경;achtergrond
법칙;regel
소금;zout
자전거;fiets
목;nek
범죄;misdaad
의사;dokter
미래;toekomst
병;ziekte
반응;reactie
세대;generatie
축구;voetbal
장소;plaats
교실;klaslokaal
별;ster
영역;gebied
체험;ervaring
색;kleur
가치;waarde
신문;krant
문제;probleem
집;huis
소리;geluid
여자;vrouw
시간;tijd
어머니;moeder
세계;wereld
학교;school
정부;regering
돈;geld
친구;vriend
마음;verstand
남자;man
얼굴;gezicht
물;water
방법;methode
삶;leven
이야기;verhaal
경제;economie
결과;resultaat
책;boek
정치;politiek
학생;student
연구;onderzoek
대학;universiteit
상태;situatie
문학;literatuur
컴퓨터;computer
환경;omgeving
기업;onderneming
선거;verkiezing
영화;film
자연;natuur
술;alcohol
전화;telefoon
사랑;liefde
커피;koffie
산업;industrie
음식;voedsel
가족;familie
발전;ontwikkeling
도시;stad
산;berg
문;deur
꽃;bloem
교사;docent
마을;dorp
불;vuur
분야;veld
전쟁;oorlog
옷;kleding
꿈;droom
나무;boom
발;voet 
음악;muziek
은행;bank
결혼;huwelijk
잠;slaap
건강;gezondheid
건물;gebouw
대화;gesprek
버스;bus
의견;mening
사진;afbeelding
도움;hulp
노동자;arbeider
자동차;auto
눈물;traan
게임;spel
가격;prijs
뉴스;nieuws
겨울;winter
종교;religie
편지;brief
팔;arm
설명;uitleg
어깨;schouder
갈등;conflict
전문;specialiteit
투자;investering
고기;vlees
속도;snelheid
골;doel
결정;beslissing
이미지;afbeelding
사장;baas
풀;gras
생각;gedachte
교통;verkeer
노동;arbeid 
기관;machine
축제;festival
연구자;onderzoeker
비극;tragedie
솜씨;vakmanschap
성공;succes
아픔;pijn
기온;temperatuur
기후;klimaat
소;koe
무게;gewicht
인터넷;Internet
호텔;hotel
계곡;vallei
기차;trein
바지;broek
취미;hobby
거실;huiskamer
주먹;vuist
슬픔;verdriet
카페;café
농담;grap
맥주;bier
모래;zand
살인;moord
신호;signaal
운;geluk
눈썹;wenkbrauw
항의;protest
강의;lezing
신랑;bruidegom
천장;plafond
화가;schilder
다짐하다;belofte
야채;groente
진단;diagnose
군사;leger
무덤;tombe
사과;appel
실패;mislukkeling
변호사;advocaat
허가;toestemming
토마토;tomaat
감자;aardappel
메시지;bericht
물고기;vis
꿀;honing
호박;pompoen
간;lever
발레;ballet
연필;potlood
관광객;toerist
안개;mist
기둥;pilaar
표준;norm
거품;bubbel
도둑;dief
화살;pijl
노선;route
악몽;nachtmerrie
껌;kauwgom
수박;watermeloen
향수;parfum
개구리;kikker
토끼;konijn
외로움;eenzaamheid
자정;middernacht
수집;collectie
신비;mysterie
양말;sok
지각;perceptie
출구;uitgang
총;pistool
패션;mode
금;goud
면;katoen
새우;garnaal
주사;injectie
채널;kanaal
대사;ambassadeur
바구니;mand
발음;uitspraak
비상;noodgeval
비서;secretaris
시장;burgemeester
옥수수;maïs
자부심;trots
정신과;psychiatrie
주스;sap
플라스틱;plastic
농장;boerderij
성경;Bijbel
시청;gemeentehuis
오락;entertainment
중단;interruptie
초상화;portret
기적;mirakel
목욕탕;badhuis
바닷물;zeewater
성;achternaam
출판;publicatie
클럽;club
판사;rechter
나비;vlinder
버섯;champignon
커튼;gordijn
국수;noedels
반지;ring
비타민;vitamine
식초;azijn
이빨;tand
의류;kleding
침실;slaapkamer
햄버거;hamburger
비누;zeep
기도;gebed
오리;eend
월;maand
장난감;speelgoed
지진;aardbeving
계란;ei
오이;komkommer
잔디;gazon
초대;uitnodiging
터널;tunnel
번역;vertaling
사전;woordenboek
서랍;lade
약국;apotheek
원숭이;aap
가구;meubel
간호사;verpleegkundige
병실;ziekenboeg
숟가락;lepel
엽서;postkaart
천국;hemel
치약;tandpasta
마라톤;marathon
바나나;banaan
앨범;album
